image,confidence,cx,cy,w,h
46.PNG,0.30003413558006287,0.28526112,0.15742397,0.47518274,0.3155591
149.PNG,0.30007603764533997,0.46734092,0.8498606,0.12642904,0.18169716
271.png,0.3001791834831238,0.4999209,0.29069525,0.9999979,0.58053553
128.PNG,0.30054527521133423,0.65793025,0.71277374,0.16029862,0.21091968
127.PNG,0.3005753755569458,0.29706457,0.5340479,0.19021378,0.28942
203.png,0.3005770146846771,0.89770955,0.25351456,0.19955383,0.48410103
9.PNG,0.3005877733230591,0.49995112,0.49980563,0.9999997,0.99995667
221.png,0.30063700675964355,0.1733562,0.5915706,0.14662279,0.12113839
128.PNG,0.30067315697669983,0.37459922,0.40446845,0.17469922,0.22894534
77.PNG,0.30099815130233765,0.4999951,0.77873737,0.99999225,0.44109195
51.PNG,0.30102822184562683,0.40823853,0.75706637,0.81550205,0.486006
237.png,0.30146804451942444,0.50011665,0.50017965,0.9999999,0.99999034
28.PNG,0.30150577425956726,0.5112779,0.6338525,0.50849605,0.3488788
171.PNG,0.3016413152217865,0.09467987,0.5145512,0.1740955,0.17565686
176.PNG,0.302039235830307,0.46076345,0.39987704,0.3032874,0.30822214
113.PNG,0.3028029799461365,0.741546,0.7758911,0.27153435,0.17211868
146.PNG,0.3030422031879425,0.47204012,0.8433432,0.18568642,0.12870575
259.png,0.30310142040252686,0.4999136,0.50005335,0.9999994,0.9999975
124.PNG,0.30330193042755127,0.4413002,0.3981131,0.86137974,0.79598904
85.PNG,0.3044552803039551,0.5080703,0.7205618,0.34152558,0.16072714
55.PNG,0.3045579195022583,0.4999991,0.50009644,0.9999988,0.9998415
17.PNG,0.30462831258773804,0.50214964,0.49940178,0.98152864,0.9886007
174.PNG,0.304772287607193,0.22890337,0.29050487,0.32083786,0.20592117
270.png,0.3048045039176941,0.7090798,0.14772044,0.58211327,0.29592985
84.PNG,0.30503934621810913,0.42714146,0.4277127,0.23482023,0.21730012
161.PNG,0.30511459708213806,0.28387427,0.8123127,0.4445213,0.3707556
152.PNG,0.30533960461616516,0.49873587,0.56849265,0.9928445,0.6545218
162.PNG,0.3056982755661011,0.47867745,0.5803402,0.21537851,0.16345009
199.PNG,0.30570897459983826,0.49866727,0.49963441,0.9878046,0.9936134
184.PNG,0.30576664209365845,0.6180979,0.67397827,0.07720405,0.2445837
140.PNG,0.3060804605484009,0.3874202,0.5763236,0.766826,0.82818115
239.png,0.30610033869743347,0.499934,0.5005451,0.9999996,0.9999993
160.PNG,0.306112140417099,0.19614682,0.36946225,0.16085422,0.15202564
202.png,0.3062599301338196,0.50009,0.5000137,0.999999,0.9999958
147.PNG,0.3064260184764862,0.22628795,0.32236055,0.21780255,0.2133654
269.png,0.30644747614860535,0.49985832,0.49990487,0.99999326,0.99999535
271.png,0.3064535856246948,0.50008136,0.49973068,1.0,0.9998405
154.PNG,0.306533545255661,0.47172478,0.6487263,0.36775917,0.26254252
172.PNG,0.306905597448349,0.15470867,0.30331114,0.22698112,0.13544685
144.PNG,0.30778780579566956,0.54862595,0.51929027,0.18318483,0.36669236
257.png,0.30799126625061035,0.04018887,0.7811596,0.0805736,0.19885759
69.PNG,0.30826300382614136,0.4998887,0.50026304,0.99986076,0.9999936
96.PNG,0.30839037895202637,0.6413306,0.6575764,0.3292241,0.46427163
222.png,0.3085753917694092,0.88644385,0.6563473,0.15731862,0.14124127
140.PNG,0.3086318373680115,0.34945744,0.58142364,0.67851007,0.81497043
87.PNG,0.30863669514656067,0.22385153,0.47998512,0.32616338,0.45266846
205.png,0.308658242225647,0.1974384,0.4998898,0.39525813,0.9999988
4.PNG,0.30866092443466187,0.4987282,0.7270101,0.2166051,0.2095577
123.PNG,0.3086783289909363,0.6593677,0.6378192,0.22535495,0.18710965
32.PNG,0.30880090594291687,0.63130736,0.41461456,0.20831549,0.37527892
157.PNG,0.30896392464637756,0.8575642,0.56552225,0.16583638,0.15819503
256.png,0.30948081612586975,0.36020523,0.5151473,0.7200146,0.97054124
141.PNG,0.3095022439956665,0.11460784,0.6834702,0.10699998,0.18689528
227.png,0.3096025288105011,0.41576412,0.03961972,0.07855118,0.07984904
211.png,0.31052660942077637,0.50366884,0.49831226,0.9781306,0.9874654
207.png,0.31069785356521606,0.7691896,0.50511825,0.45667994,0.98628044
192.PNG,0.31085503101348877,0.3941268,0.3556804,0.22502013,0.3374959
169.PNG,0.31089070439338684,0.8350816,0.85326546,0.17642345,0.1521609
256.png,0.31097152829170227,0.3591113,0.51472425,0.7171664,0.9711139
142.PNG,0.311000794172287,0.4941325,0.8009553,0.15074706,0.30864072
62.PNG,0.3111337721347809,0.36471206,0.8457233,0.31309086,0.30047697
232.png,0.3111693859100342,0.5011496,0.61102664,0.24777818,0.065027095
162.PNG,0.3114174008369446,0.4964342,0.8502724,0.19488399,0.14352566
137.PNG,0.3114244043827057,0.59714705,0.44579813,0.15228215,0.16278128
287.png,0.3115883767604828,0.49999106,0.5000851,0.9994352,0.99998975
93.PNG,0.31174302101135254,0.6880493,0.5532303,0.29543895,0.4294342
82.PNG,0.31180545687675476,0.7568808,0.59086096,0.40410304,0.4169546
148.PNG,0.3118063509464264,0.3888088,0.917023,0.12916031,0.13315628
276.png,0.3120131492614746,0.5000811,0.50015724,0.9999987,0.99999976
184.PNG,0.3120817542076111,0.22083314,0.21370173,0.16851671,0.191185
87.PNG,0.3123144507408142,0.49995568,0.47986838,0.99999785,0.9532705
196.PNG,0.3123169541358948,0.21612912,0.50042665,0.43243214,0.9999918
12.PNG,0.3124191164970398,0.5263395,0.86793655,0.23584926,0.17235322
265.png,0.31264230608940125,0.4122862,0.6160541,0.40838286,0.49832368
253.png,0.31288614869117737,0.499847,0.5001095,0.99999565,0.99999595
243.png,0.3130520284175873,0.5270231,0.615821,0.9397142,0.7593698
201.png,0.313144713640213,0.27437264,0.072449505,0.0914454,0.14306505
233.png,0.3131774663925171,0.50005406,0.50016713,0.99999946,0.999998
271.png,0.3133140504360199,0.5001211,0.29704413,0.9999998,0.59375435
232.png,0.31335538625717163,0.5009373,0.6102804,0.24810606,0.06597193
47.PNG,0.3138900399208069,0.47511506,0.5097472,0.28128722,0.2842504
89.PNG,0.3139241337776184,0.48798072,0.70473653,0.19518788,0.20203798
285.png,0.31395021080970764,0.50021625,0.5002361,0.9999989,0.9999932
118.PNG,0.3140809237957001,0.7719687,0.6060885,0.17352575,0.114679225
32.PNG,0.3141636848449707,0.6323401,0.46793473,0.20111209,0.2508707
135.PNG,0.3142637312412262,0.8223495,0.50066996,0.3519095,0.99432176
61.PNG,0.3143187165260315,0.8636119,0.31314677,0.26410288,0.2686286
89.PNG,0.3146970868110657,0.48241428,0.71037644,0.22976899,0.27316853
122.PNG,0.31499624252319336,0.50006276,0.5000886,0.9999968,0.9999619
262.png,0.3150298297405243,0.35808074,0.5000807,0.7160843,0.9999783
126.PNG,0.31531721353530884,0.24848683,0.364548,0.12935208,0.104203396
179.PNG,0.31550079584121704,0.44662398,0.5116947,0.45318803,0.80847937
117.PNG,0.3155021667480469,0.5017449,0.49859068,0.95600164,0.9823123
39.PNG,0.31553027033805847,0.82125205,0.85489625,0.3553525,0.2873939
221.png,0.315704882144928,0.4593561,0.41977957,0.09238071,0.11527877
198.PNG,0.3158133029937744,0.19102417,0.7841145,0.2527213,0.3609935
